,0,1,2,3,4,5
113,wcd_5-6-7-8---bullens_die-arzte_flac_lossless_29408357/Die Aerzte - 5-6-7-8 Bullenstaat (2001)/22 Tränengas.flac,Die Ärzte,Tränengas,59.72,https://www.youtube.com/watch?v=3O9C0MMS7EQ,
114,wcd_100x-liefde-2013_3-doors-down_flac_lossless_30729592/100x Liefde 2013 (Universal 2013) [FLAC]/CD2/19 - KT Tunstall - Suddenly I See [2005].flac,3 Doors Down,Suddenly I See [2005],198.8,,
115,wcd_1988-04-17-the-world_neil-young_mp3_320_31077670/The World 04-17-1988 Early Show/006-Hey Hey.mp3,Neil Young,Hey Hey,224.26,https://www.youtube.com/watch?v=cawk2cMTnGo,
116,wcd_1979-12-21-the-keyst_jerry-garcia-band_mp3_v0-vbr_1537243/jgb12-21-79 - V0/Disc 02/d2t1Positively 4th Street.mp3,Jerry Garcia Band,d2t1Positively 4th Street,1059.52,,
117,wcd_1s_mariah-carey_flac_lossless_1600707/Mariah Carey - 1998 - #1'S/13 - I Don't Wanna Cry.flac,Mariah Carey,I Don't Wanna Cry,289.93,https://www.youtube.com/watch?v=75x-cfklMX0,
118,wcd_1986-2008_baktruppen_flac_lossless_29706573/[Flac] Baktruppen - 1986-2008/03 - 27 The Art Of Going To Seed.flac,Baktruppen,The Art Of Going To Seed,156.89,,
119,wcd_15-godina-i-6-_stijene_flac_lossless_30664527/Stijene - 1995 - 15 godina i 6 žena Marina Limića (The best of)/11 - Kao djevica.flac,Stijene,Kao djevica,186.33,https://www.youtube.com/watch?v=B1CwLsf1K_E,
120,wcd_-20_baek-ji-young-_flac_lossless_257560/연가 2008/CD3/13. 편지.flac,Baek Ji Young (백지영),편지,293.46,,
121,  ,tnoem 05.10,264.82,,,
122,"wcd_2011-02-05--fitzgeralds--chicago-_flac_lossless_29978385/Radiators - 2011-02-05 - FitzGerald's - Chicago, IL/rads2011-02-05s1t04 Rainy Day Women.flac",The Radiators,Rainy Day Women,341.74,,
123,"wcd_2010-09-30---the-fil_widespread-panic_flac_lossless_28954745/09302010 The Fillmore at Jackie Gleason Theater, Miami Beach, FL/wsp100930d2_04_Who_Do_You_Belong_To.flac",Widespread Panic,Who Do You Belong To?,338.14,,
